YEAR,A2_CNRMCM3,A2_GFDLCM21,A2_MIROC32MED,A2_MPIECHAM5,A2_NCARCCSM3,A2_NCARPCM1,B1_CNRMCM3,B1_GFDLCM21,B1_MIROC32MED,B1_MPIECHAM5,B1_NCARCCSM3,B1_NCARPCM1
2010,6030,6820,10092,13078,10492,13514,11462,6758,514,7410,3574,14438
2011,11254,5862,9666,12132,12704,11064,7602,6116,5128,7322,5244,4432
2012,6188,14286,11216,6662,6740,11168,7994,6536,11700,10092,10578,13386
2013,12706,14448,9984,10636,12328,9520,8084,2174,2012,8340,3354,8056
2014,13150,438,0,4734,22,10600,13232,12826,12080,3528,4684,10734
2015,14406,6028,4332,2948,14254,10474,2360,8378,6320,14254,0,11674
2016,14270,6054,1748,13348,0,7804,3814,7874,2120,3552,3150,6478
2017,9456,0,14230,4134,868,2478,7172,10564,4912,0,3126,10520
2018,5598,30,10522,11818,7288,8890,11354,12532,10744,9734,13666,14550
2019,11240,1988,3344,12446,2916,9470,7960,11762,5896,14002,3382,14214
2020,11308,13084,192,9182,470,4364,6574,3352,588,8872,276,6908
2021,12672,4744,6284,6380,252,13978,13364,3914,12454,5776,958,13768
2022,11338,5560,3276,6456,3204,8746,5410,5304,11902,4234,9492,14364
2023,8340,0,9358,7316,4734,13998,3316,6888,11578,6484,6848,6420
2024,7058,132,6718,7680,13214,8208,7660,5736,10502,11046,10352,13252
2025,10780,1016,8964,13192,4548,12844,14332,7808,5442,12322,10476,14032
2026,5854,12134,11478,9078,132,0,9876,13976,5692,3210,8142,13780
2027,3870,338,8356,14260,8154,7348,28,2528,2612,13790,0,8026
2028,0,0,456,44,3556,13794,2138,3800,4378,5758,8264,12976
2029,3138,1584,1684,4576,2126,8292,9310,1940,6498,5774,12558,3732
2030,10138,4084,0,8948,0,13088,0,6788,224,492,78,13382
2031,9176,0,11180,10436,674,10664,13748,8246,11358,6710,8008,12948
2032,6526,0,2036,12336,11386,8168,8078,7278,4008,10280,0,4748
2033,13656,5122,328,13468,7292,8794,13064,6338,12290,2822,4618,11072
2034,4900,11062,6486,12520,436,13440,4834,0,482,13932,2572,10584
2035,8944,0,0,0,5718,10400,1302,6164,320,12076,1962,5138
2036,12752,78,4104,0,4484,10314,6618,5668,5432,3456,2994,14064
2037,5858,5872,7060,5888,2412,9992,8218,3268,0,13006,6256,12252
2038,8090,3762,6330,13716,40,674,13290,660,9218,8840,500,10080
2039,7178,0,3044,5394,2822,3586,6816,0,7826,8210,7596,14630
2040,6344,0,9144,0,1368,1692,600,1518,8058,5068,310,10444
2041,6992,896,0,3664,0,8228,9634,6686,2204,2210,2290,12640
2042,0,0,5230,13228,0,12962,4530,0,0,6802,0,9490
2043,5348,328,1146,3730,0,2958,4336,8636,4502,4148,860,12758
2044,144,1324,0,6792,4520,5468,9742,0,2716,10366,6762,13648
2045,0,7694,0,0,2614,9932,3684,4120,0,7656,3774,8284
2046,1596,266,3752,0,2566,11250,4872,10480,0,9564,3514,9972
2047,2372,1236,82,10668,5182,7364,11150,5866,208,0,0,5890
2048,3108,6922,5602,8412,1786,4994,6590,8442,4254,14620,3232,10372
2049,2730,666,0,268,490,9080,0,4100,0,13956,1696,8308
2050,11318,74,0,6042,1548,0,754,5664,2018,8594,3202,4694
2051,8444,0,3070,2594,246,0,9280,7066,0,4000,3186,9660
2052,5630,0,440,10882,0,0,10650,5890,0,3096,7948,8324
2053,3594,5916,5822,7826,2448,220,3296,4602,1550,7462,3812,9126
2054,0,6266,252,0,150,7536,5314,4858,0,13760,7582,7792
2055,5798,0,2846,5320,4930,11970,3848,486,0,248,4612,5674
2056,7956,0,2060,11984,3640,158,3068,0,68,4038,2292,13718
2057,3220,726,14,0,2978,10872,6368,3836,5734,6490,590,0
2058,308,4022,0,0,0,3902,8508,2322,0,0,9912,3906
2059,0,6168,0,5746,0,9802,6394,8092,878,0,0,4134
2060,0,520,0,0,0,3814,12098,10730,12932,898,3130,1844
2061,0,254,3160,478,184,10340,7648,108,130,3398,11942,6644
2062,0,0,444,7538,564,8410,0,3586,3784,136,2602,13638
2063,0,0,246,0,7566,4032,6488,248,0,0,3048,11850
2064,0,246,5382,10876,0,7170,0,1942,5034,4402,4868,3942
2065,4130,0,0,0,0,8818,2908,1374,512,0,0,8336
2066,0,0,0,5844,570,10316,5268,0,2092,11244,3766,6076
2067,7432,0,0,0,0,6286,0,204,0,0,302,0
2068,0,0,140,0,0,5336,0,10652,0,0,6902,7516
2069,0,0,930,0,0,4308,4810,5164,0,10896,4640,12018
2070,0,0,0,0,152,4032,0,0,3090,1164,3100,12518
2071,0,0,0,6256,0,0,4904,0,0,84,0,2280
2072,0,0,0,2986,0,2688,508,0,0,6726,1240,0
2073,0,2962,0,3596,122,7160,0,6322,0,6430,3556,0
2074,0,0,0,4720,0,1884,1884,0,0,0,0,4804
2075,0,0,0,0,0,3636,0,0,0,0,2006,318
2076,1368,0,0,0,0,5700,0,3712,1552,8596,7404,0
2077,0,0,0,0,0,10704,100,1978,2236,0,172,6002
2078,1480,0,0,1894,0,0,8330,2508,1386,18,272,7174
2079,200,0,0,0,0,0,564,56,4048,3626,0,11706
2080,0,0,0,98,0,706,1070,0,0,4654,3126,10888
2081,0,0,0,5162,108,8438,3874,0,0,1944,0,5458
2082,0,0,0,760,0,4796,4704,5816,0,4042,8014,8214
2083,0,0,0,0,0,438,4644,0,2802,1554,0,7630
2084,0,0,0,4330,0,0,7184,0,2330,0,8752,1742
2085,36,0,0,2882,0,0,0,0,0,4706,0,4928
2086,0,0,0,5998,0,222,4090,0,0,2016,0,5048
2087,0,0,0,446,3332,0,0,0,0,0,0,160
2088,0,0,0,0,0,6190,104,754,0,0,3418,4976
2089,0,0,0,0,0,4710,442,0,0,3086,0,10010
2090,0,0,0,0,0,3806,3012,624,38,0,2374,3634
2091,0,0,0,0,0,2086,0,0,0,758,2458,2814
2092,0,0,0,0,0,8164,2252,86,0,0,368,6362
2093,28,0,0,0,0,3172,0,1104,0,0,254,5928
2094,0,0,0,0,0,18,0,0,430,0,6640,4058
2095,0,0,0,0,0,6,9080,8044,0,0,5428,8498
2096,0,0,0,0,0,0,0,0,0,0,0,398
2097,0,0,0,0,0,0,0,0,2344,0,3984,5628
2098,0,0,0,0,0,0,0,0,0,0,586,5866
2099,0,0,0,0,0,0,0,0,258,0,6058,12886
